Name, SOME PERSON
Address,"SOME ADDRESS, CHICAGO IL 60600-0000"
Account Number,1234589712
Service,Service 1

TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,2022-12-01,00:00,00:29,0.16,kWh,$0.02,
Electric usage,2022-12-01,00:30,00:59,0.12,kWh,$0.02,
Electric usage,2022-12-01,01:00,01:29,0.13,kWh,$0.02,
Electric usage,2022-12-01,01:30,01:59,0.15,kWh,$0.02,
Electric usage,2022-12-01,02:00,02:29,0.10,kWh,$0.01,
Electric usage,2022-12-01,02:30,02:59,0.18,kWh,$0.02,
Electric usage,2022-12-01,03:00,03:29,0.06,kWh,$0.01,
Electric usage,2022-12-01,03:30,03:59,0.22,kWh,$0.03,
Electric usage,2022-12-01,04:00,04:29,0.04,kWh,$0.01,
Electric usage,2022-12-01,04:30,04:59,0.23,kWh,$0.03,
Electric usage,2022-12-01,05:00,05:29,0.04,kWh,$0.01,
Electric usage,2022-12-01,05:30,05:59,0.20,kWh,$0.03,
Electric usage,2022-12-01,06:00,06:29,0.08,kWh,$0.01,
Electric usage,2022-12-01,06:30,06:59,0.17,kWh,$0.02,
Electric usage,2022-12-01,07:00,07:29,0.11,kWh,$0.02,
Electric usage,2022-12-01,07:30,07:59,0.14,kWh,$0.02,
Electric usage,2022-12-01,08:00,08:29,0.22,kWh,$0.03,
Electric usage,2022-12-01,08:30,08:59,0.27,kWh,$0.04,
Electric usage,2022-12-01,09:00,09:29,0.19,kWh,$0.03,
Electric usage,2022-12-01,09:30,09:59,0.07,kWh,$0.01,
Electric usage,2022-12-01,10:00,10:29,0.07,kWh,$0.01,
Electric usage,2022-12-01,10:30,10:59,0.04,kWh,$0.01,
Electric usage,2022-12-01,11:00,11:29,0.04,kWh,$0.01,
Electric usage,2022-12-01,11:30,11:59,0.04,kWh,$0.01,
Electric usage,2022-12-01,12:00,12:29,0.04,kWh,$0.01,
Electric usage,2022-12-01,12:30,12:59,0.04,kWh,$0.01,
Electric usage,2022-12-01,13:00,13:29,0.04,kWh,$0.01,
Electric usage,2022-12-01,13:30,13:59,0.04,kWh,$0.01,
Electric usage,2022-12-01,14:00,14:29,0.04,kWh,$0.01,
Electric usage,2022-12-01,14:30,14:59,0.04,kWh,$0.01,
Electric usage,2022-12-01,15:00,15:29,0.04,kWh,$0.01,
Electric usage,2022-12-01,15:30,15:59,0.04,kWh,$0.00,
Electric usage,2022-12-01,16:00,16:29,0.04,kWh,$0.01,
Electric usage,2022-12-01,16:30,16:59,0.04,kWh,$0.00,
Electric usage,2022-12-01,17:00,17:29,0.04,kWh,$0.00,
Electric usage,2022-12-01,17:30,17:59,0.04,kWh,$0.00,
Electric usage,2022-12-01,18:00,18:29,0.03,kWh,$0.00,
Electric usage,2022-12-01,18:30,18:59,0.04,kWh,$0.01,
Electric usage,2022-12-01,19:00,19:29,0.03,kWh,$0.00,
Electric usage,2022-12-01,19:30,19:59,0.04,kWh,$0.01,
Electric usage,2022-12-01,20:00,20:29,0.03,kWh,$0.00,
Electric usage,2022-12-01,20:30,20:59,0.04,kWh,$0.01,
Electric usage,2022-12-01,21:00,21:29,0.17,kWh,$0.02,
Electric usage,2022-12-01,21:30,21:59,0.17,kWh,$0.02,
Electric usage,2022-12-01,22:00,22:29,0.26,kWh,$0.04,
Electric usage,2022-12-01,22:30,22:59,0.12,kWh,$0.02,
Electric usage,2022-12-01,23:00,23:29,0.23,kWh,$0.03,
Electric usage,2022-12-01,23:30,23:59,0.12,kWh,$0.02,
Electric usage,2022-12-02,00:00,00:29,0.14,kWh,$0.02,
Electric usage,2022-12-02,00:30,00:59,0.24,kWh,$0.03,
Electric usage,2022-12-02,01:00,01:29,0.15,kWh,$0.02,
Electric usage,2022-12-02,01:30,01:59,0.19,kWh,$0.03,
Electric usage,2022-12-02,02:00,02:29,0.07,kWh,$0.01,
Electric usage,2022-12-02,02:30,02:59,0.21,kWh,$0.03,
Electric usage,2022-12-02,03:00,03:29,0.04,kWh,$0.01,
Electric usage,2022-12-02,03:30,03:59,0.23,kWh,$0.03,
Electric usage,2022-12-02,04:00,04:29,0.13,kWh,$0.02,
Electric usage,2022-12-02,04:30,04:59,0.24,kWh,$0.03,
Electric usage,2022-12-02,05:00,05:29,0.06,kWh,$0.01,
Electric usage,2022-12-02,05:30,05:59,0.18,kWh,$0.03,
Electric usage,2022-12-02,06:00,06:29,0.09,kWh,$0.01,
Electric usage,2022-12-02,06:30,06:59,0.15,kWh,$0.02,
Electric usage,2022-12-02,07:00,07:29,0.12,kWh,$0.02,
Electric usage,2022-12-02,07:30,07:59,0.12,kWh,$0.02,
Electric usage,2022-12-02,08:00,08:29,0.16,kWh,$0.02,
Electric usage,2022-12-02,08:30,08:59,0.27,kWh,$0.04,
Electric usage,2022-12-02,09:00,09:29,0.21,kWh,$0.03,
Electric usage,2022-12-02,09:30,09:59,0.07,kWh,$0.01,
Electric usage,2022-12-02,10:00,10:29,0.09,kWh,$0.01,
Electric usage,2022-12-02,10:30,10:59,0.44,kWh,$0.06,
Electric usage,2022-12-02,11:00,11:29,0.42,kWh,$0.06,
Electric usage,2022-12-02,11:30,11:59,2.15,kWh,$0.30,
Electric usage,2022-12-02,12:00,12:29,0.99,kWh,$0.14,
Electric usage,2022-12-02,12:30,12:59,0.17,kWh,$0.02,
Electric usage,2022-12-02,13:00,13:29,0.14,kWh,$0.02,
Electric usage,2022-12-02,13:30,13:59,0.20,kWh,$0.03,
Electric usage,2022-12-02,14:00,14:29,0.13,kWh,$0.02,
Electric usage,2022-12-02,14:30,14:59,1.49,kWh,$0.21,
Electric usage,2022-12-02,15:00,15:29,1.64,kWh,$0.23,
Electric usage,2022-12-02,15:30,15:59,0.24,kWh,$0.03,
Electric usage,2022-12-02,16:00,16:29,0.09,kWh,$0.01,
Electric usage,2022-12-02,16:30,16:59,0.21,kWh,$0.03,
Electric usage,2022-12-02,17:00,17:29,0.12,kWh,$0.02,
Electric usage,2022-12-02,17:30,17:59,0.12,kWh,$0.02,
Electric usage,2022-12-02,18:00,18:29,0.10,kWh,$0.01,
Electric usage,2022-12-02,18:30,18:59,0.13,kWh,$0.02,
Electric usage,2022-12-02,19:00,19:29,0.28,kWh,$0.04,
Electric usage,2022-12-02,19:30,19:59,0.16,kWh,$0.02,
Electric usage,2022-12-02,20:00,20:29,0.09,kWh,$0.01,
Electric usage,2022-12-02,20:30,20:59,0.12,kWh,$0.02,
Electric usage,2022-12-02,21:00,21:29,0.10,kWh,$0.01,
Electric usage,2022-12-02,21:30,21:59,0.12,kWh,$0.02,
Electric usage,2022-12-02,22:00,22:29,0.29,kWh,$0.04,
Electric usage,2022-12-02,22:30,22:59,0.12,kWh,$0.02,
Electric usage,2022-12-02,23:00,23:29,0.26,kWh,$0.04,
Electric usage,2022-12-02,23:30,23:59,0.17,kWh,$0.02,
Electric usage,2022-12-03,00:00,00:29,0.20,kWh,$0.03,
Electric usage,2022-12-03,00:30,00:59,0.11,kWh,$0.02,
Electric usage,2022-12-03,01:00,01:29,0.14,kWh,$0.02,
Electric usage,2022-12-03,01:30,01:59,0.14,kWh,$0.02,
Electric usage,2022-12-03,02:00,02:29,0.11,kWh,$0.02,
Electric usage,2022-12-03,02:30,02:59,0.18,kWh,$0.02,
Electric usage,2022-12-03,03:00,03:29,0.07,kWh,$0.01,
Electric usage,2022-12-03,03:30,03:59,0.21,kWh,$0.03,
Electric usage,2022-12-03,04:00,04:29,0.05,kWh,$0.01,
Electric usage,2022-12-03,04:30,04:59,0.23,kWh,$0.03,
Electric usage,2022-12-03,05:00,05:29,0.06,kWh,$0.01,
Electric usage,2022-12-03,05:30,05:59,0.20,kWh,$0.03,
Electric usage,2022-12-03,06:00,06:29,0.08,kWh,$0.01,
Electric usage,2022-12-03,06:30,06:59,0.17,kWh,$0.02,
Electric usage,2022-12-03,07:00,07:29,0.12,kWh,$0.02,
Electric usage,2022-12-03,07:30,07:59,0.14,kWh,$0.02,
Electric usage,2022-12-03,08:00,08:29,0.14,kWh,$0.02,
Electric usage,2022-12-03,08:30,08:59,0.26,kWh,$0.04,
Electric usage,2022-12-03,09:00,09:29,0.18,kWh,$0.03,
Electric usage,2022-12-03,09:30,09:59,0.08,kWh,$0.01,
